bacteria,model,feature_set,n_features,test_start,test_end,threshold,accuracy,precision,recall,f1,f2,false_negative_rate,tn,fp,fn,tp,pr_auc,roc_auc,brier_score,final_selected,selected_feature_set
E. coli,Gradient Boosting,expanded_no_tides,25,2023-08-28,2026-05-26,0.27,0.6062992125984252,0.5510204081632653,0.9,0.6835443037974683,0.7988165680473372,0.1,23,44,6,54,0.7360324555770802,0.7227611940298507,0.21843818565316647,True,expanded_no_tides
Enterococcus,Logistic Regression,base_no_sso,9,2023-09-11,2026-05-26,0.63,0.808,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.34285714285714286,78,12,12,23,0.6913019179286198,0.7612698412698414,0.20238802808415454,True,base_no_sso
