bacteria,model,feature_set,threshold,train_rows,validation_rows,test_rows,test_start,test_end,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,pr_auc,roc_auc
E. coli,Logistic Regression,expanded_no_tides,0.245,589,126,127,2023-08-28,2026-05-26,0.4645669291338583,0.4661016949152542,0.9166666666666666,0.6179775280898876,0.7681564245810056,4,63,5,55,0.6742607856219359,0.621641791044776
Enterococcus,Logistic Regression,base_no_sso,0.63,579,124,125,2023-09-11,2026-05-26,0.808,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571,78,12,12,23,0.6913019179286198,0.7612698412698414
